Order_ID;Customer_ID;Product_ID;Order_Date;Shipping_Date;Sales;Quantity;Discount;Profit;Unit_Price
44;72;1728;09/09/2019;06/10/2019;1649.95;5;0;659.98;329.99
45;170;1752;19/02/2019;26/02/2019;220.704;6;0.2;-8.2764;36.584
46;179;866;23/03/2019;25/03/2019;80.98;1;0;1.6196;80.98
47;639;891;06/09/2019;06/10/2019;16.23;3;0;7.9527;5.41
48;502;3;13/05/2019;26/05/2019;17.544;3;0.2;5.9211;5.648
49;428;399;06/02/2019;14/02/2019;47.616;3;0.2;3.5712;15.672
50;20;1730;25/06/2019;24/07/2019;355.36;4;0;92.3936;88.84
51;7;1403;03/11/2019;25/11/2019;288.24;6;0;138.3552;48.04
52;387;684;10/03/2019;30/03/2019;37.52;5;0.2;3.752;7.304
53;352;165;20/07/2019;08/08/2019;182.22;3;0;45.555;60.74
54;255;206;19/07/2019;13/08/2019;4.73;1;0;2.3177;4.73
55;276;1098;28/09/2019;07/10/2019;3.552;2;0.2;0.444;1.576
56;682;248;03/02/2019;04/02/2019;95.968;4;0.2;28.7904;23.792
57;793;223;02/11/2019;05/11/2019;19.104;3;0.2;5.7312;6.168
58;717;261;20/10/2019;03/11/2019;19.44;3;0;9.3312;6.48
59;121;819;07/09/2019;22/09/2019;34.08;2;0;15.6768;17.04
60;534;817;13/03/2019;02/04/2019;11.56;2;0;5.6644;5.78
61;17;921;07/08/2019;14/08/2019;61.96;4;0.5;-53.2856;14.99
62;2;700;21/11/2019;26/11/2019;3.486;2;0.7;-2.7888;1.043
63;203;432;19/07/2019;22/07/2019;279.96;5;0.2;17.4975;55.792
64;623;199;02/03/2019;30/03/2019;41.6;4;0.2;13;10.2
65;724;727;06/09/2019;03/10/2019;15.24;3;0;7.1628;5.08
66;742;93;12/01/2019;29/01/2019;37.88;2;0;18.94;18.94
67;288;579;01/11/2019;08/11/2019;10.688;2;0.2;3.7408;5.144
68;595;1119;24/07/2019;11/08/2019;139.95;5;0;26.5905;27.99
69;705;1293;20/01/2019;23/01/2019;15.552;3;0.2;5.4432;4.984
70;784;1138;15/11/2019;02/12/2019;575.968;4;0.2;43.1976;143.792
71;787;1123;14/09/2019;10/10/2019;53.952;3;0.2;17.5344;17.784
72;494;360;10/06/2019;19/06/2019;19.536;3;0.2;4.884;6.312
73;154;1032;24/07/2019;26/07/2019;10.08;4;0.2;3.528;2.32
74;563;1023;12/04/2019;24/04/2019;21.488;2;0.2;1.6116;10.544
75;532;34;01/02/2019;06/02/2019;56.784;7;0.2;20.5842;7.912
76;688;82;20/01/2019;28/01/2019;200.984;7;0.2;62.8075;28.512
77;296;786;24/11/2019;20/12/2019;10.272;3;0.2;1.1556;3.224
78;395;1789;22/04/2019;10/05/2019;31.104;6;0.2;10.8864;4.984
79;193;692;27/04/2019;30/04/2019;44.91;6;0.7;-35.928;6.785
80;283;494;02/01/2019;13/01/2019;21.88;5;0.2;6.2905;4.176
81;517;476;27/09/2019;08/10/2019;354.9;5;0;88.725;70.98
82;154;1281;31/08/2019;19/09/2019;376.509;3;0.3;-43.0296;125.203
83;788;94;08/09/2019;15/09/2019;124.11;9;0;52.1262;13.79
84;580;1026;04/03/2019;10/03/2019;2.334;3;0.8;-6.3018;-0.022
85;793;61;12/01/2019;05/02/2019;27.96;5;0.2;8.388;5.392
86;572;829;15/05/2019;24/05/2019;119.833;1;0.15;-12.6882;119.683
87;358;227;27/06/2019;28/06/2019;66.688;1;0.2;4.168;66.488
88;375;1032;11/09/2019;08/10/2019;18.9;6;0;9.072;3.15
89;548;768;16/02/2019;20/02/2019;67.344;6;0.2;7.5762;11.024
90;613;279;28/08/2019;11/09/2019;26.8;2;0;12.864;13.4
91;578;1086;10/10/2019;11/10/2019;12.53;1;0;5.8891;12.53
92;765;380;12/01/2019;01/02/2019;42.6;3;0;16.614;14.2
93;199;1525;13/04/2019;14/04/2019;32.896;4;0.2;11.1024;8.024
94;66;1681;07/05/2019;21/05/2019;97.98;2;0;27.4344;48.99
95;307;569;11/03/2019;31/03/2019;343.85;5;0;137.54;68.77
96;335;1186;04/10/2019;28/10/2019;666.4;7;0.2;-33.32;95
97;258;685;10/09/2019;11/09/2019;18.48;2;0.2;6.006;9.04
98;225;555;25/11/2019;01/12/2019;11.06;10;0.8;-18.802;0.306
99;435;418;09/02/2019;06/03/2019;110.96;2;0;53.2608;55.48
100;766;34;19/05/2019;23/05/2019;14.94;3;0;7.0218;4.98
101;768;1792;31/08/2019;23/09/2019;127.936;8;0.2;4.7976;15.792
102;65;154;29/11/2019;06/12/2019;31.12;4;0;14.6264;7.78
103;44;989;29/05/2019;26/06/2019;2.025;1;0.7;-1.35;1.325
104;548;456;02/11/2019;29/11/2019;21.168;9;0.2;2.3814;2.152
105;762;618;14/05/2019;21/05/2019;9.912;3;0.2;3.2214;3.104
106;242;784;23/05/2019;14/06/2019;129.93;3;0;12.993;43.31
107;659;53;05/03/2019;13/03/2019;8.72;4;0;3.5752;2.18
108;393;1317;11/03/2019;22/03/2019;11.96;2;0;5.8604;5.98
109;204;887;19/12/2019;09/01/2020;19.76;2;0.2;5.928;9.68
110;518;805;14/09/2019;25/09/2019;6.48;4;0.7;-4.752;0.92
111;153;1601;25/01/2019;12/02/2019;5.248;2;0.2;0.5904;2.424
112;628;908;03/01/2019;24/01/2019;107.94;3;0;26.985;35.98
113;72;9;27/01/2019;30/01/2019;30.84;4;0;13.878;7.71
114;96;264;02/09/2019;15/09/2019;17.05;5;0;8.184;3.41
115;641;526;03/07/2019;04/07/2019;1.824;1;0.7;-1.3984;1.124
116;581;1753;23/05/2019;12/06/2019;57.568;4;0.2;5.7568;14.192
117;141;155;18/10/2019;01/11/2019;55.36;4;0.2;19.376;13.64
118;183;1239;15/02/2019;08/03/2019;26.2;4;0;12.052;6.55
119;406;77;18/10/2019;01/11/2019;19.3;2;0;5.79;9.65
120;613;1379;01/01/2019;11/01/2019;4.928;2;0.2;0.7392;2.264
121;684;247;15/07/2019;12/08/2019;1633.14;9;0;473.6106;181.46
122;348;479;18/11/2019;05/12/2019;254.24;7;0;76.272;36.32
123;327;27;29/09/2019;04/10/2019;2396.2656;4;0.32;-317.1528;598.7464
124;476;647;02/08/2019;08/08/2019;71.96;5;0.2;7.196;14.192
125;456;370;10/12/2019;05/01/2020;19.98;1;0;9.3906;19.98
126;194;1031;28/11/2019;03/12/2019;31.744;2;0.2;3.968;15.672
127;703;851;28/08/2019;16/09/2019;362.94;3;0;90.735;120.98
128;630;555;17/02/2019;20/02/2019;11.06;10;0.8;-18.802;0.306
129;289;70;06/08/2019;20/08/2019;5.08;1;0.2;1.651;4.88
130;265;412;21/12/2019;26/12/2019;1272.63;6;0.5;-814.4832;211.605
131;623;519;17/07/2019;27/07/2019;1606.23;9;0;481.869;178.47
132;630;1008;17/03/2019;23/03/2019;179.94;6;0;75.5748;29.99
133;364;713;01/06/2019;13/06/2019;257.499;3;0.15;24.2352;85.683
134;399;90;03/11/2019;07/11/2019;15.552;3;0.2;5.4432;4.984
135;391;427;22/08/2019;19/09/2019;338.04;3;0.2;-33.804;112.48
136;387;571;18/05/2019;31/05/2019;14.352;3;0.2;4.6644;4.584
137;162;871;26/05/2019;14/06/2019;599.9;10;0;191.968;59.99
138;292;796;27/08/2019;01/09/2019;162.6;3;0;34.146;54.2
139;609;992;14/08/2019;06/09/2019;121.6;5;0.2;39.52;24.12
140;290;986;11/12/2019;28/12/2019;59.98;2;0;17.994;29.99
141;511;1228;07/10/2019;30/10/2019;1856.19;7;0;334.1142;265.17
142;564;813;01/02/2019;25/02/2019;3.15;1;0;1.512;3.15
143;774;585;10/04/2019;02/05/2019;863.128;8;0.3;-160.2952;107.591
144;50;918;29/03/2019;17/04/2019;12.39;3;0;5.8233;4.13
145;333;76;22/05/2019;31/05/2019;90.8;8;0;25.424;11.35
146;797;1363;28/02/2019;19/03/2019;25.128;3;0.6;-6.9102;7.776
147;471;1034;07/04/2019;24/04/2019;50.12;7;0.2;-0.6265;6.96
148;787;693;15/08/2019;25/08/2019;456.588;2;0.7;-304.392;227.594
149;187;698;16/10/2019;29/10/2019;68.472;3;0.2;23.1093;22.624
150;155;1544;25/07/2019;16/08/2019;12.624;2;0.2;-2.5248;6.112
151;295;1334;01/02/2019;09/02/2019;14.272;8;0.2;4.2816;1.584
152;154;1804;22/08/2019;27/08/2019;5.98;1;0;2.9302;5.98
153;327;1366;21/12/2019;05/01/2020;133.38;6;0;58.6872;22.23
154;200;1574;22/04/2019;29/04/2019;166.5;2;0.4;-66.6;82.85
155;142;136;08/08/2019;20/08/2019;16.464;7;0.2;1.4406;2.152
156;604;443;27/12/2019;30/12/2019;30.8;4;0;10.164;7.7
157;360;931;05/01/2019;09/01/2019;87.36;6;0;23.5872;14.56
158;156;198;19/02/2019;04/03/2019;91.99;1;0;3.6796;91.99
159;241;976;07/04/2019;29/04/2019;80.88;3;0;39.6312;26.96
160;782;1826;06/09/2019;15/09/2019;7.88;4;0;2.5216;1.97
161;168;85;16/02/2019;17/03/2019;47.976;3;0.2;8.3958;15.792
162;565;979;03/01/2019;29/01/2019;29.8;5;0.2;9.3125;5.76
163;306;1613;12/12/2019;22/12/2019;12.6;2;0;5.796;6.3
164;44;1063;18/06/2019;11/07/2019;843.9;2;0;371.316;421.95
165;3;1197;22/07/2019;01/08/2019;359.97;5;0.4;-71.994;71.594
166;58;481;12/04/2019;22/04/2019;132.224;4;0.2;-18.1808;32.856
167;28;155;08/02/2019;25/02/2019;13.84;4;0.8;-22.144;2.66
168;682;1425;03/08/2019;15/08/2019;10.56;2;0;4.752;5.28
169;498;109;05/05/2019;06/05/2019;121.536;4;0.2;15.192;30.184
170;666;670;25/01/2019;06/02/2019;102.368;2;0.2;37.1084;50.984
171;631;1312;07/09/2019;21/09/2019;176.04;4;0;45.7704;44.01
172;700;162;02/01/2019;09/01/2019;179.97;3;0;44.9925;59.99
173;556;222;30/12/2019;26/01/2020;419.68;5;0.6;-356.728;83.336
174;184;444;13/10/2019;31/10/2019;45.24;4;0.7;-30.16;10.61
175;514;1031;27/03/2019;09/04/2019;79.36;4;0;23.808;19.84
176;547;562;08/01/2019;22/01/2019;609.98;4;0.3;-113.282;152.195
177;715;613;05/01/2019;23/01/2019;30.96;2;0.2;10.062;15.28
178;749;42;22/06/2019;03/07/2019;124.608;4;0.2;-23.364;30.952
179;587;992;30/05/2019;24/06/2019;18.24;3;0.8;-31.008;5.28
180;418;21;20/10/2019;31/10/2019;17.04;3;0.2;5.538;5.48
181;318;1647;10/07/2019;02/08/2019;35.4;5;0;13.452;7.08
182;618;485;20/02/2019;12/03/2019;43.13;1;0;14.6642;43.13
183;170;816;06/03/2019;09/03/2019;136.99;1;0;36.9873;136.99
184;170;760;07/10/2019;05/11/2019;494.376;3;0.2;49.4376;164.592
185;176;610;10/11/2019;03/12/2019;13.872;3;0.2;5.0286;4.424
186;187;1019;21/09/2019;28/09/2019;11.648;2;0.2;3.3488;5.624
187;206;89;10/12/2019;09/01/2020;6.48;1;0;3.1104;6.48
188;111;753;10/02/2019;15/02/2019;1049.97;5;0.4;-209.994;209.594
189;718;26;20/02/2019;22/02/2019;90.57;3;0;11.7741;30.19
190;636;29;07/11/2019;05/12/2019;289.8;7;0.2;36.225;41.2
191;208;931;22/10/2019;29/10/2019;72.8;5;0;19.656;14.56
192;324;531;26/02/2019;16/03/2019;34.76;5;0.2;11.297;6.752
193;503;656;27/01/2019;02/02/2019;221.056;8;0.2;77.3696;27.432
194;648;754;24/05/2019;07/06/2019;17.48;2;0;8.2156;8.74
195;136;1236;12/05/2019;15/05/2019;129.888;6;0.2;12.9888;21.448
196;725;1012;10/03/2019;19/03/2019;67.04;4;0.2;6.704;16.56
197;670;810;19/09/2019;15/10/2019;172.186;2;0.3;-46.7362;85.793
198;340;1228;31/07/2019;14/08/2019;795.51;3;0;143.1918;265.17
199;567;935;10/01/2019;16/01/2019;59.7;3;0;26.865;19.9
200;48;818;27/10/2019;23/11/2019;559.62;9;0;151.0974;62.18
201;231;459;06/11/2019;11/11/2019;14.352;3;0.2;4.485;4.584
202;449;1314;11/02/2019;24/02/2019;479.984;2;0.2;59.998;239.792
203;146;794;18/05/2019;02/06/2019;196.45;5;0;70.722;39.29
204;499;1026;09/09/2019;11/09/2019;1.556;2;0.8;-4.2012;-0.022
205;553;223;09/06/2019;12/06/2019;23.88;3;0;10.5072;7.96
206;717;1236;02/02/2019;21/02/2019;64.944;3;0.2;6.4944;21.448
207;780;92;04/02/2019;02/03/2019;32.96;2;0;16.1504;16.48
208;304;363;16/06/2019;29/06/2019;43.44;8;0;21.2856;5.43
209;99;700;13/05/2019;18/05/2019;8.134;7;0.8;-13.8278;0.362
210;455;751;11/12/2019;17/12/2019;27.216;3;0.2;9.8658;8.872
211;176;1550;23/07/2019;09/08/2019;47.3;2;0;12.298;23.65
212;565;1496;22/06/2019;04/07/2019;24.9;5;0;11.454;4.98
213;686;1724;30/06/2019;13/07/2019;123.088;7;0.2;40.0036;17.384
214;161;1145;22/08/2019;13/09/2019;34.76;1;0;9.7328;34.76
215;234;666;29/10/2019;03/11/2019;65.99;1;0;17.1574;65.99
216;430;908;17/04/2019;25/04/2019;107.94;3;0;26.985;35.98
217;786;1277;12/07/2019;05/08/2019;10.368;2;0.2;3.6288;4.984
218;488;154;19/03/2019;23/03/2019;61.96;2;0;30.3604;30.98
219;533;284;30/11/2019;23/12/2019;11.352;3;0.2;2.6961;3.584
220;227;727;11/04/2019;26/04/2019;12.192;3;0.2;4.1148;3.864
221;555;402;21/12/2019;19/01/2020;30.48;3;0;7.9248;10.16
222;535;441;21/06/2019;27/06/2019;89.712;6;0.2;30.2778;14.752
223;655;575;22/12/2019;20/01/2020;917.9235;9;0.15;75.5937;101.8415
224;22;1836;11/06/2019;20/06/2019;6.36;2;0;0.0636;3.18
225;606;1022;05/10/2019;21/10/2019;123.92;4;0;55.764;30.98
226;173;1317;30/08/2019;08/09/2019;29.9;5;0;14.651;5.98
227;28;918;06/02/2019;18/02/2019;8.26;2;0;3.8822;4.13
228;799;790;13/09/2019;05/10/2019;58.464;9;0.8;-146.16;5.696
229;183;34;23/04/2019;12/05/2019;9.96;2;0;4.6812;4.98
230;58;1466;25/06/2019;20/07/2019;41.96;2;0;2.9372;20.98
231;525;1283;21/09/2019;07/10/2019;14.016;4;0.8;-31.536;2.704
232;497;1226;07/01/2019;24/01/2019;95.97;5;0.7;-73.577;18.494
233;391;918;25/01/2019;21/02/2019;3.304;1;0.2;1.1151;3.104
234;9;1536;22/11/2019;07/12/2019;8.595;5;0.7;-6.303;1.019
235;632;574;11/05/2019;03/06/2019;14.62;2;0;6.8714;7.31
236;701;1526;03/05/2019;02/06/2019;51.56;2;0.6;-61.872;25.18
237;136;883;01/12/2019;15/12/2019;95.952;3;0.2;29.985;31.784
238;514;1714;03/12/2019;31/12/2019;41.04;6;0;11.0808;6.84
239;493;1228;05/03/2019;11/03/2019;1325.85;5;0;238.653;265.17
240;403;1191;05/05/2019;12/05/2019;97.3;7;0;28.217;13.9
241;469;347;01/09/2019;05/09/2019;13.12;5;0.2;2.132;2.424
242;583;1340;01/06/2019;17/06/2019;35.168;4;0.2;11.4296;8.592
243;638;1192;06/07/2019;24/07/2019;5.104;1;0.2;1.6588;4.904
244;202;116;04/03/2019;06/03/2019;210.392;2;0.8;-336.6272;104.396
245;42;1642;18/10/2019;16/11/2019;7.92;1;0.2;2.772;7.72
246;521;799;04/11/2019;17/11/2019;16.392;2;0.8;-26.2272;7.396
247;121;698;18/10/2019;29/10/2019;77.031;9;0.7;-59.0571;7.859
248;453;1711;28/09/2019;18/10/2019;19.44;3;0;9.3312;6.48
249;470;484;21/02/2019;12/03/2019;2453.43;5;0.3;-350.49;490.386
250;51;574;11/10/2019;20/10/2019;58.48;8;0;27.4856;7.31
251;403;769;01/10/2019;18/10/2019;717.12;9;0.2;152.388;79.48
252;411;295;28/08/2019;01/09/2019;17.9;5;0;8.95;3.58
253;334;364;18/08/2019;16/09/2019;251.006;2;0.3;-68.1302;125.203
254;653;70;08/04/2019;01/05/2019;30.48;6;0.2;9.906;4.88
255;128;1373;28/07/2019;31/07/2019;24.672;3;0.2;0;8.024
256;166;219;13/09/2019;15/09/2019;205.992;1;0.2;-2.5749;205.792
257;711;1839;18/02/2019;20/02/2019;8.04;6;0;2.7336;1.34
258;129;423;08/12/2019;18/12/2019;71.6;8;0;32.936;8.95
259;105;116;02/08/2019;26/08/2019;157.794;1;0.7;-115.7156;157.094
260;7;900;03/04/2019;08/04/2019;575.92;2;0.2;71.99;287.76
261;712;1610;24/06/2019;17/07/2019;43.13;1;0;18.1146;43.13
262;489;562;18/01/2019;02/02/2019;457.485;3;0.3;-84.9615;152.195
263;353;873;13/11/2019;18/11/2019;593.568;2;0.2;0;296.584
264;353;1126;20/04/2019;19/05/2019;11.54;2;0;3.462;5.77
265;509;1004;07/02/2019;17/02/2019;33.87;3;0;8.8062;11.29
266;783;1730;19/04/2019;21/04/2019;213.216;3;0.2;15.9912;70.872
267;544;286;05/06/2019;22/06/2019;38.08;5;0.6;-29.512;7.016
268;78;1027;22/12/2019;29/12/2019;16.91;1;0;4.5657;16.91
269;376;1794;19/05/2019;11/06/2019;41.91;3;0;10.8966;13.97
270;654;55;23/06/2019;13/07/2019;173.8;5;0;43.45;34.76
271;326;159;15/01/2019;01/02/2019;966.7;5;0.3;-13.81;193.04
272;681;1546;18/03/2019;19/03/2019;13.48;1;0;1.8872;13.48
273;543;322;29/11/2019;14/12/2019;647.84;8;0;168.4384;80.98
274;589;47;09/08/2019;01/09/2019;30;2;0;3.3;15
275;713;788;28/02/2019;08/03/2019;613.9992;3;0.32;-18.0588;204.3464
276;193;13;11/07/2019;04/08/2019;32.4;5;0;15.552;6.48
277;783;645;17/06/2019;10/07/2019;12.96;2;0;6.2208;6.48
278;527;1404;06/04/2019;17/04/2019;227.36;7;0;81.8496;32.48
279;54;1041;08/04/2019;04/05/2019;34.176;3;0.8;-87.1488;10.592
280;18;1728;21/12/2019;23/12/2019;989.97;3;0;395.988;329.99
281;781;1298;04/05/2019;08/05/2019;477.51;11;0;219.6546;43.41
282;666;174;29/11/2019;03/12/2019;302.376;3;0.2;22.6782;100.592
283;24;914;15/10/2019;25/10/2019;209.7;2;0;100.656;104.85
284;566;1052;07/06/2019;21/06/2019;51.98;2;0;15.0742;25.99
285;794;1040;06/03/2019;13/03/2019;27.888;7;0.2;10.1094;3.784
286;726;892;17/11/2019;08/12/2019;1115.17;7;0;334.551;159.31
287;129;871;17/01/2019;16/02/2019;431.928;9;0.2;64.7892;47.792
288;378;596;04/12/2019;13/12/2019;296.37;3;0;80.0199;98.79
289;558;1704;13/04/2019;01/05/2019;222.32;7;0.2;25.011;31.56
290;578;611;20/09/2019;01/10/2019;34.48;2;0;9.9992;17.24
291;3;38;19/08/2019;26/08/2019;1043.92;4;0;271.4192;260.98
292;486;946;08/11/2019;23/11/2019;17.94;3;0;8.6112;5.98
293;233;962;21/06/2019;30/06/2019;124.032;4;0.2;44.9616;30.808
294;322;1288;02/05/2019;31/05/2019;113.97;3;0;27.3528;37.99
295;483;1199;31/05/2019;27/06/2019;351.216;3;0.2;4.3902;116.872
296;433;349;04/10/2019;01/11/2019;862.344;7;0.2;97.0137;122.992
297;737;11;25/08/2019;23/09/2019;355.455;3;0.5;-184.8366;117.985
298;403;308;14/09/2019;26/09/2019;2.694;2;0.7;-2.245;0.647
299;749;1408;25/12/2019;13/01/2020;403.168;4;0.2;25.198;100.592
300;22;184;06/03/2019;09/03/2019;7.408;2;0.2;1.2038;3.504
301;357;1241;07/05/2019;26/05/2019;14.76;5;0.6;-11.439;2.352
302;285;663;21/04/2019;13/05/2019;603.92;4;0;181.176;150.98
303;9;713;10/05/2019;19/05/2019;205.9992;3;0.32;-27.2646;68.3464
304;173;303;17/09/2019;06/10/2019;124.2;3;0.4;-31.05;41
305;425;311;22/06/2019;25/06/2019;1.24;1;0;0.5828;1.24
306;488;471;28/04/2019;01/05/2019;783.96;5;0.2;78.396;156.592
307;336;1814;09/07/2019;21/07/2019;40.74;3;0;12.222;13.58
308;560;790;28/11/2019;02/12/2019;12.992;2;0.8;-32.48;5.696
309;297;631;27/01/2019;01/02/2019;6.848;2;0.2;2.14;3.224
310;226;875;18/05/2019;25/05/2019;3.204;2;0.7;-2.4564;0.902
311;540;774;07/03/2019;01/04/2019;887.271;3;0.3;-63.3765;295.457
312;697;361;28/02/2019;07/03/2019;10.98;1;0;2.9646;10.98
313;387;243;17/06/2019;13/07/2019;14.016;3;0.2;4.7304;4.472
314;259;1577;03/12/2019;24/12/2019;261.96;2;0;23.5764;130.98
315;664;1742;13/03/2019;21/03/2019;150.408;9;0.2;-33.8418;16.512
316;248;1517;03/12/2019;31/12/2019;120.96;2;0.4;-28.224;60.08
317;699;36;13/04/2019;19/04/2019;572.76;6;0;166.1004;95.46
318;504;374;02/10/2019;08/10/2019;4.66;2;0;1.3514;2.33
319;214;545;30/07/2019;04/08/2019;15.424;4;0.2;5.0128;3.656
320;82;1672;05/12/2019;31/12/2019;7.9;2;0;2.054;3.95
321;457;1399;24/01/2019;13/02/2019;22638.48;6;0.5;-1811.0784;3772.58
322;585;1379;07/10/2019;24/10/2019;21.56;7;0;6.8992;3.08
323;626;366;27/03/2019;31/03/2019;6.3;2;0;3.024;3.15
324;39;1795;24/12/2019;05/01/2020;125.944;7;0.2;15.743;17.792
325;571;658;31/07/2019;02/08/2019;239.97;3;0;71.991;79.99
326;77;326;03/07/2019;19/07/2019;23.56;5;0.2;7.068;4.512
327;222;597;24/10/2019;15/11/2019;64.96;2;0;21.4368;32.48
328;355;877;14/05/2019;15/05/2019;53.2;5;0;14.896;10.64
329;696;1661;24/02/2019;15/03/2019;421.1;2;0;105.275;210.55
330;666;1078;05/06/2019;02/07/2019;18.528;6;0.8;-27.792;2.288
331;230;1825;20/04/2019;02/05/2019;122.94;3;0;30.735;40.98
332;606;1720;29/12/2019;11/01/2020;24.14;2;0;7.9662;12.07
333;540;441;09/11/2019;24/11/2019;119.616;8;0.2;40.3704;14.752
334;460;285;16/08/2019;01/09/2019;2888.127;11;0.1;609.7157;262.457
335;637;407;19/10/2019;08/11/2019;56.686;1;0.3;-20.245;56.386
336;664;39;11/01/2019;02/02/2019;212.058;3;0.3;-15.147;70.386
337;97;1053;29/01/2019;30/01/2019;10.192;7;0.2;1.0192;1.256
338;89;3;01/10/2019;13/10/2019;58.48;8;0;27.4856;7.31
339;793;1525;12/08/2019;14/08/2019;32.896;4;0.2;11.1024;8.024
340;15;1440;11/03/2019;04/04/2019;5.952;1;0.2;0.372;5.752
341;733;1617;10/01/2019;15/01/2019;45.28;4;0;15.3952;11.32
342;116;1189;28/07/2019;11/08/2019;18.28;5;0.2;6.398;3.456
343;560;107;08/10/2019;25/10/2019;339.96;5;0.2;67.992;67.792
344;176;135;11/06/2019;04/07/2019;32.94;3;0;9.2232;10.98
345;261;373;20/02/2019;21/03/2019;34.68;6;0;16.9932;5.78
346;683;583;23/01/2019;28/01/2019;49.568;2;0.2;17.3488;24.584
347;198;900;25/02/2019;27/02/2019;1799.75;5;0;539.925;359.95
348;54;1163;09/04/2019;20/04/2019;1345.485;5;0.7;-1031.5385;268.397
349;6;1089;17/10/2019;21/10/2019;21.56;7;0;10.3488;3.08
350;789;1759;01/02/2019;19/02/2019;62.496;2;0.2;21.8736;31.048
351;200;986;20/09/2019;21/09/2019;47.984;2;0.2;5.998;23.792
352;109;1218;14/07/2019;08/08/2019;1421.664;6;0.2;-195.4788;236.744
353;426;356;28/10/2019;04/11/2019;14.98;1;0;4.1944;14.98
354;59;1195;28/04/2019;24/05/2019;218.352;3;0.2;-19.1058;72.584
355;743;879;09/08/2019;28/08/2019;159.96;5;0.2;17.9955;31.792
356;552;1198;18/09/2019;15/10/2019;17.22;3;0;7.9212;5.74
357;44;711;04/02/2019;16/02/2019;10.688;2;0.2;3.7408;5.144
358;289;433;21/02/2019;25/02/2019;569.99;1;0;170.997;569.99
359;375;75;10/06/2019;15/06/2019;58.248;9;0.2;11.6496;6.272
360;27;9;06/09/2019;07/09/2019;24.672;4;0.2;7.71;5.968
361;55;57;27/10/2019;06/11/2019;127.764;2;0.1;2.8392;63.782
362;635;515;27/12/2019;04/01/2020;204.85;5;0;57.358;40.97
